DeliveryDate,TradeDate,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
"2023-11-19","2023-11-20","2023-11-19T23:00:00","2023-11-19T23:30:00",3433,649,4082
"2023-11-19","2023-11-20","2023-11-19T23:30:00","2023-11-20T00:00:00",3395,600,3995
"2023-11-20","2023-11-20","2023-11-20T00:00:00","2023-11-20T00:30:00",3233,550,3783
"2023-11-20","2023-11-20","2023-11-20T00:30:00","2023-11-20T01:00:00",3160,508,3668
"2023-11-20","2023-11-20","2023-11-20T01:00:00","2023-11-20T01:30:00",3064,510,3574
"2023-11-20","2023-11-20","2023-11-20T01:30:00","2023-11-20T02:00:00",3029,522,3551
"2023-11-20","2023-11-20","2023-11-20T02:00:00","2023-11-20T02:30:00",2975,517,3492
"2023-11-20","2023-11-20","2023-11-20T02:30:00","2023-11-20T03:00:00",2948,515,3463
"2023-11-20","2023-11-20","2023-11-20T03:00:00","2023-11-20T03:30:00",2918,503,3421
"2023-11-20","2023-11-20","2023-11-20T03:30:00","2023-11-20T04:00:00",2890,502,3392
"2023-11-20","2023-11-20","2023-11-20T04:00:00","2023-11-20T04:30:00",2908,500,3408
"2023-11-20","2023-11-20","2023-11-20T04:30:00","2023-11-20T05:00:00",2948,505,3453
"2023-11-20","2023-11-20","2023-11-20T05:00:00","2023-11-20T05:30:00",2970,513,3483
"2023-11-20","2023-11-20","2023-11-20T05:30:00","2023-11-20T06:00:00",3053,536,3589
"2023-11-20","2023-11-20","2023-11-20T06:00:00","2023-11-20T06:30:00",3175,589,3764
"2023-11-20","2023-11-20","2023-11-20T06:30:00","2023-11-20T07:00:00",3406,684,4090
"2023-11-20","2023-11-20","2023-11-20T07:00:00","2023-11-20T07:30:00",3643,793,4436
"2023-11-20","2023-11-20","2023-11-20T07:30:00","2023-11-20T08:00:00",3980,916,4896
"2023-11-20","2023-11-20","2023-11-20T08:00:00","2023-11-20T08:30:00",4151,1005,5156
"2023-11-20","2023-11-20","2023-11-20T08:30:00","2023-11-20T09:00:00",4224,1034,5258
"2023-11-20","2023-11-20","2023-11-20T09:00:00","2023-11-20T09:30:00",4331,1071,5402
"2023-11-20","2023-11-20","2023-11-20T09:30:00","2023-11-20T10:00:00",4423,1084,5507
"2023-11-20","2023-11-20","2023-11-20T10:00:00","2023-11-20T10:30:00",4393,1084,5477
"2023-11-20","2023-11-20","2023-11-20T10:30:00","2023-11-20T11:00:00",4377,1080,5457
"2023-11-20","2023-11-20","2023-11-20T11:00:00","2023-11-20T11:30:00",4359,1058,5417
"2023-11-20","2023-11-20","2023-11-20T11:30:00","2023-11-20T12:00:00",4356,1036,5392
"2023-11-20","2023-11-20","2023-11-20T12:00:00","2023-11-20T12:30:00",4363,1028,5391
"2023-11-20","2023-11-20","2023-11-20T12:30:00","2023-11-20T13:00:00",4379,1035,5414
"2023-11-20","2023-11-20","2023-11-20T13:00:00","2023-11-20T13:30:00",4394,1030,5424
"2023-11-20","2023-11-20","2023-11-20T13:30:00","2023-11-20T14:00:00",4308,1000,5308
"2023-11-20","2023-11-20","2023-11-20T14:00:00","2023-11-20T14:30:00",4288,997,5285
"2023-11-20","2023-11-20","2023-11-20T14:30:00","2023-11-20T15:00:00",4308,985,5293
"2023-11-20","2023-11-20","2023-11-20T15:00:00","2023-11-20T15:30:00",4300,986,5286
"2023-11-20","2023-11-20","2023-11-20T15:30:00","2023-11-20T16:00:00",4396,1016,5412
"2023-11-20","2023-11-20","2023-11-20T16:00:00","2023-11-20T16:30:00",4481,1050,5531
"2023-11-20","2023-11-20","2023-11-20T16:30:00","2023-11-20T17:00:00",4662,1123,5785
"2023-11-20","2023-11-20","2023-11-20T17:00:00","2023-11-20T17:30:00",4903,1243,6146
"2023-11-20","2023-11-20","2023-11-20T17:30:00","2023-11-20T18:00:00",4995,1280,6275
