TradeDate,ParticipantName,ResourceName,ResourceType,EffectiveTime,IssueTime,OutturnAvailability,OutturnMinimumStableGen,FuelUseFlag
"2024-02-17","PT_500028","GU_503840","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",2.116,0,"P"
"2024-02-17","PT_500025","GU_501150","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",2.454,0,"P"
"2024-02-17","PT_500021","GU_500020","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",2.032,0,"P"
"2024-02-17","PT_500021","GU_501500","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",12.713,0,"P"
"2024-02-17","PT_500024","GU_503400","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0,0,"P"
"2024-02-17","PT_500028","GU_501750","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",2.849,0,"P"
"2024-02-17","PT_500025","GU_501440","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",5.689,0,"P"
"2024-02-17","PT_500028","GU_503920","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",17.818,0,"P"
"2024-02-17","PT_500028","GU_503810","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",8.55,0,"P"
"2024-02-17","PT_500028","GU_503820","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.288,0,"P"
"2024-02-17","PT_500028","GU_503790","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",2.752,0,"P"
"2024-02-17","PT_500073","GU_501230","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",12.749,0,"P"
"2024-02-17","PT_500074","GU_501250","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",9.049,0,"P"
"2024-02-17","PT_500025","GU_501040","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",2.756,0,"P"
"2024-02-17","PT_500044","GU_500720","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",4.135,0,"P"
"2024-02-17","PT_500025","GU_501210","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",3.416,0,"P"
"2024-02-17","PT_500039","GU_503900","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",29.329,0,"P"
"2024-02-17","PT_500086","GU_503940","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.806,0,"P"
"2024-02-17","PT_500021","GU_500010","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0.489,0,"P"
"2024-02-17","PT_500021","GU_501160","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",13.257,0,"P"
"2024-02-17","PT_500028","GU_501680","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.799,0,"P"
"2024-02-17","PT_500021","GU_501630","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0,0,"P"
"2024-02-17","PT_500047","GU_500790","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0.05,0,"P"
"2024-02-17","PT_500021","GU_500740","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",5.651,0,"P"
"2024-02-17","PT_500110","GU_504200","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.702,0,"P"
"2024-02-17","PT_500021","GU_501620","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",3.514,0,"P"
"2024-02-17","PT_500021","GU_501550","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",5.266,0,"P"
"2024-02-17","PT_500086","GU_503930","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",3.305,0,"P"
"2024-02-17","PT_502534","GU_504040","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",18.251,0,"P"
"2024-02-17","PT_500028","GU_501660","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0,0,"P"
"2024-02-17","PT_500086","GU_501410","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0,0,"P"
"2024-02-17","PT_500021","GU_501700","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",4.722,0,"P"
"2024-02-17","PT_500112","GU_504230","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.386,0,"P"
"2024-02-17","PT_500086","GU_501390","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0,0,"P"
"2024-02-17","PT_500025","GU_501190","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",3.049,0,"P"
"2024-02-17","PT_500021","GU_504060","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0.84,0,"P"
"2024-02-17","PT_500024","GU_504090","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0,0,"P"
"2024-02-17","PT_500028","GU_503800","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",4.5,0,"P"
"2024-02-17","PT_500086","GU_501360","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",3.531,0,"P"
"2024-02-17","PT_500021","GU_501710","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",3.633,0,"P"
"2024-02-17","PT_500025","GU_501430","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",0.61,0,"P"
"2024-02-17","PT_500021","GU_501520","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",5.326,0,"P"
"2024-02-17","PT_500021","GU_501720","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.523,0,"P"
"2024-02-17","PT_500021","GU_504160","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.336,0,"P"
"2024-02-17","PT_500028","GU_503860","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.518,0,"P"
"2024-02-17","PT_500021","GU_501670","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",15.134,0,"P"
"2024-02-17","PT_500028","GU_503830","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",3.804,0,"P"
"2024-02-17","PT_502534","GU_504030","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",10.649,0,"P"
"2024-02-17","PT_500021","GU_501730","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",4.577,0,"P"
"2024-02-17","PT_500028","GU_501740","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.054,0,"P"
"2024-02-17","PT_500028","GU_503850","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",2.122,0,"P"
"2024-02-17","PT_500025","GU_501050","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",3.068,0,"P"
"2024-02-17","PT_500028","GU_503780","GEN","2024-02-17T22:45:00","2024-02-17T22:45:00",1.711,0,"P"
"2024-02-17","PT_400090","DSU_401270","DSU","2024-02-17T22:38:00","2024-02-17T22:36:27",6,1,"P"
"2024-02-17","PT_400090","DSU_403450","DSU","2024-02-17T22:37:00","2024-02-17T22:35:39",0,0,"P"
"2024-02-17","PT_400033","DSU_401330","DSU","2024-02-17T22:32:00","2024-02-17T22:31:58",11,1,"P"
"2024-02-17","PT_402540","GU_405160","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",4.81,0,"P"
"2024-02-17","PT_400062","GU_401750","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",2.58,0,"P"
"2024-02-17","PT_402563","GU_404480","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",1.85,0,"P"
"2024-02-17","PT_500086","GU_501410","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",0,0,"P"
"2024-02-17","PT_402540","GU_403390","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",1.24,0,"P"
"2024-02-17","PT_400200","GU_404570","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",6.72,0,"P"
"2024-02-17","PT_400200","GU_404580","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",2.18,0,"P"
"2024-02-17","PT_402577","GU_404340","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",4.28,0,"P"
"2024-02-17","PT_400202","GU_404490","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",5.18,0,"P"
"2024-02-17","PT_402561","GU_403770","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",7.2,0,"P"
"2024-02-17","PT_400043","GU_401290","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",1.15,0,"P"
"2024-02-17","PT_400021","GU_403950","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",3.51,0,"P"
"2024-02-17","PT_500021","GU_501550","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",5.165,0,"P"
"2024-02-17","PT_402546","GU_403400","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",10.86,0,"P"
"2024-02-17","PT_402607","GU_405080","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",0,0,"P"
"2024-02-17","PT_500021","GU_501620","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",3.538,0,"P"
"2024-02-17","PT_400192","GU_401980","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",3.32,0,"P"
"2024-02-17","PT_500028","GU_503860","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",1.19,0,"P"
"2024-02-17","PT_500021","GU_501730","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",4.914,0,"P"
"2024-02-17","PT_400062","GU_400840","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",3.07,0,"P"
"2024-02-17","PT_402540","GU_405110","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",11.18,0,"P"
"2024-02-17","PT_500086","GU_501360","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",2.996,0,"P"
"2024-02-17","PT_500025","GU_501440","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",3.351,0,"P"
"2024-02-17","PT_400238","GU_403380","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",6.16,0,"P"
"2024-02-17","PT_500074","GU_501250","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",10.915,0,"P"
"2024-02-17","PT_402613","GU_405210","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",19.55,0,"P"
"2024-02-17","PT_400021","GU_400600","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",0.71,0,"P"
"2024-02-17","PT_400043","GU_400660","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",8.83,0,"P"
"2024-02-17","PT_400200","GU_403920","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",4.64,0,"P"
"2024-02-17","PT_400033","GU_400950","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",8.64,0,"P"
"2024-02-17","PT_400043","GU_401060","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",2.86,0,"P"
"2024-02-17","PT_400043","GU_401930","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",19.46,0,"P"
"2024-02-17","PT_400062","GU_401730","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",2.83,0,"P"
"2024-02-17","PT_500086","GU_503930","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",3.102,0,"P"
"2024-02-17","PT_502534","GU_504040","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",25.356,0,"P"
"2024-02-17","PT_400043","GU_401150","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",0.8,0,"P"
"2024-02-17","PT_500025","GU_501210","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",3.594,0,"P"
"2024-02-17","PT_500086","GU_503940","GEN","2024-02-17T22:30:00","2024-02-17T22:30:00",2.605,0,"P"
