TradeDate,ParticipantName,ResourceName,ResourceType,StartTime,EndTime,Jurisdiction,MeteredMW
"2023-11-19","IO_EIDAC","I_ROIEWIC","IU","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",86.85
"2023-11-19","IO_MOYLE","I_NIMOYLE","IU","2023-11-19T00:00:00","2023-11-19T00:30:00","NI",-173
"2023-11-19","PT_400021","GU_400020","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",6.539
"2023-11-19","PT_400021","GU_400021","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",0.201
"2023-11-19","PT_400021","GU_400030","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",4.614
"2023-11-19","PT_400021","GU_400041","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",2.634
"2023-11-19","PT_400021","GU_400050","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",11.63
"2023-11-19","PT_400021","GU_400060","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",10.805
"2023-11-19","PT_400021","GU_400070","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",5.75
"2023-11-19","PT_400021","GU_400080","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",9.383
"2023-11-19","PT_400021","GU_400591","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",14.14
"2023-11-19","PT_400021","GU_400600","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",6.638
"2023-11-19","PT_400021","GU_400910","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",15.21
"2023-11-19","PT_400021","GU_400920","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",10.06
"2023-11-19","PT_400021","GU_401080","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",3.839
"2023-11-19","PT_400021","GU_401380","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",8.67
"2023-11-19","PT_400021","GU_401960","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",23.24
"2023-11-19","PT_400021","GU_401990","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",26.76
"2023-11-19","PT_400021","GU_402210","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",7.143
"2023-11-19","PT_400021","GU_402220","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",7.2
"2023-11-19","PT_400021","GU_403840","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",2.301
"2023-11-19","PT_400021","GU_403950","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",5.417
"2023-11-19","PT_400021","GU_403980","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",4.639
"2023-11-19","PT_400021","GU_404990","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",7.766
"2023-11-19","PT_400024","GU_400120","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",0
"2023-11-19","PT_400024","GU_400121","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",20.18
"2023-11-19","PT_400025","GU_405890","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",9.255
"2023-11-19","PT_400028","GU_400930","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",0
"2023-11-19","PT_400028","GU_400970","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",3.615
"2023-11-19","PT_400028","GU_401540","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",4.756
"2023-11-19","PT_400028","GU_401810","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",9.437
"2023-11-19","PT_400028","GU_401820","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",2.76
"2023-11-19","PT_400028","GU_401890","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",4.46
"2023-11-19","PT_400028","GU_402160","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",1.793
"2023-11-19","PT_400028","GU_402250","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",5.777
"2023-11-19","PT_400028","GU_402260","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",0.937
"2023-11-19","PT_400028","GU_405090","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",0
"2023-11-19","PT_400028","GU_405100","GEN","2023-11-19T00:00:00","2023-11-19T00:30:00","ROI",0
"2023-11-19","PT_400028","GU_405130","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",11.38
"2023-11-19","PT_400030","GU_400180","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",0
"2023-11-19","PT_400030","GU_400181","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",0
"2023-11-19","PT_400030","GU_400182","GEN","2023-11-19T00:00:00","2023-11-19T00:29:59","ROI",0
