TradeDate,DeliveryDate,StartTime,EndTime,ParticipantName,ResourceName,AvgOutturnAvail
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_401270",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400033","DSU_401330",1
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_401400",8
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400124","DSU_401490",6
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400133","DSU_401530",9
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400043","DSU_401590",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_401610",4
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_401620",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400144","DSU_401660",3.817
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_401800",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_401850",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_401870",4.083
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400124","DSU_401880",4
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400133","DSU_401910",7
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400043","DSU_402040",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_402090",5
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_402100",2
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_402120",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400133","DSU_402180",2
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_403020",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_403030",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_403040",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_403050",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_403080",0
