ParticipantName,ResourceName,TradeDate,DeliveryDate,StartTime,StartMW,EndTime,EndMW,UnderTestFlag
"PT_400090","DSU_401270","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400033","DSU_401330","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400116","DSU_401400","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-18T23:30:00",0,"N"
"PT_400124","DSU_401490","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400133","DSU_401530","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400043","DSU_401590","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-18T23:30:00",0,"N"
"PT_400090","DSU_401610","2023-11-19","2023-11-18","2023-11-18T23:00:00",6,"2023-11-19T23:00:00",6,"N"
"PT_400090","DSU_401620","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400144","DSU_401660","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-18T23:30:00",0,"N"
"PT_400090","DSU_401800","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400090","DSU_401850","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400116","DSU_401870","2023-11-19","2023-11-18","2023-11-18T23:00:00",8,"2023-11-18T23:30:00",7,"N"
"PT_400124","DSU_401880","2023-11-19","2023-11-18","2023-11-18T23:00:00",4,"2023-11-19T23:00:00",4,"N"
"PT_400133","DSU_401910","2023-11-19","2023-11-18","2023-11-18T23:00:00",7,"2023-11-19T00:00:00",7,"N"
"PT_400043","DSU_402040","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-18T23:30:00",0,"N"
"PT_400116","DSU_402090","2023-11-19","2023-11-18","2023-11-18T23:00:00",7,"2023-11-18T23:30:00",7,"N"
"PT_400116","DSU_402100","2023-11-19","2023-11-18","2023-11-18T23:00:00",2,"2023-11-18T23:30:00",2,"N"
"PT_400116","DSU_402120","2023-11-19","2023-11-18","2023-11-18T23:00:00",1,"2023-11-18T23:30:00",1,"N"
"PT_400133","DSU_402180","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400090","DSU_403020","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400090","DSU_403030","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400090","DSU_403040","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400090","DSU_403050","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400090","DSU_403080","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-18T23:30:00",0,"N"
"PT_400090","DSU_403120","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400090","DSU_403450","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400090","DSU_403470","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-19T23:00:00",0,"N"
"PT_400144","DSU_403500","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-18T23:30:00",0,"N"
"PT_400116","DSU_403520","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-18T23:30:00",0,"N"
"PT_400116","DSU_403560","2023-11-19","2023-11-18","2023-11-18T23:00:00",0,"2023-11-18T23:30:00",0,"N"
