TradeDate,StartTime,EndTime,NetImbalanceVolume,ImbalanceSettlementPrice
"2023-11-19","2023-11-18T23:00:00","2023-11-18T23:30:00",10.107,134.52
"2023-11-19","2023-11-18T23:30:00","2023-11-19T00:00:00",-20.741,18.56
"2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00",-33.918,0
"2023-11-19","2023-11-19T00:30:00","2023-11-19T01:00:00",-36.014,0
"2023-11-19","2023-11-19T01:00:00","2023-11-19T01:30:00",-39.284,0
"2023-11-19","2023-11-19T01:30:00","2023-11-19T02:00:00",-54.676,0
"2023-11-19","2023-11-19T02:00:00","2023-11-19T02:30:00",-45.916,0
"2023-11-19","2023-11-19T02:30:00","2023-11-19T03:00:00",-52.357,0
"2023-11-19","2023-11-19T03:00:00","2023-11-19T03:30:00",-51.46,0
"2023-11-19","2023-11-19T03:30:00","2023-11-19T04:00:00",-53.285,0
"2023-11-19","2023-11-19T04:00:00","2023-11-19T04:30:00",-58.964,0
"2023-11-19","2023-11-19T04:30:00","2023-11-19T05:00:00",-61.248,0
"2023-11-19","2023-11-19T05:00:00","2023-11-19T05:30:00",-63.025,0
"2023-11-19","2023-11-19T05:30:00","2023-11-19T06:00:00",-57.021,0
"2023-11-19","2023-11-19T06:00:00","2023-11-19T06:30:00",-49.616,0
"2023-11-19","2023-11-19T06:30:00","2023-11-19T07:00:00",-39.998,0
"2023-11-19","2023-11-19T07:00:00","2023-11-19T07:30:00",-35.027,0
"2023-11-19","2023-11-19T07:30:00","2023-11-19T08:00:00",-15.212,0.95
"2023-11-19","2023-11-19T08:00:00","2023-11-19T08:30:00",-3.202,52.38
"2023-11-19","2023-11-19T08:30:00","2023-11-19T09:00:00",4.745,102.62
"2023-11-19","2023-11-19T09:00:00","2023-11-19T09:30:00",5.285,142.82
"2023-11-19","2023-11-19T09:30:00","2023-11-19T10:00:00",16.674,159.05
"2023-11-19","2023-11-19T10:00:00","2023-11-19T10:30:00",19.051,147.47
"2023-11-19","2023-11-19T10:30:00","2023-11-19T11:00:00",19.417,147.76
"2023-11-19","2023-11-19T11:00:00","2023-11-19T11:30:00",17.93,146.56
"2023-11-19","2023-11-19T11:30:00","2023-11-19T12:00:00",14.744,144
"2023-11-19","2023-11-19T12:00:00","2023-11-19T12:30:00",23.567,149.82
"2023-11-19","2023-11-19T12:30:00","2023-11-19T13:00:00",24.04,150.57
"2023-11-19","2023-11-19T13:00:00","2023-11-19T13:30:00",20.611,149.12
"2023-11-19","2023-11-19T13:30:00","2023-11-19T14:00:00",6.523,139.44
"2023-11-19","2023-11-19T14:00:00","2023-11-19T14:30:00",8.88,157.07
"2023-11-19","2023-11-19T14:30:00","2023-11-19T15:00:00",8.541,133.48
"2023-11-19","2023-11-19T15:00:00","2023-11-19T15:30:00",5.061,166.32
"2023-11-19","2023-11-19T15:30:00","2023-11-19T16:00:00",13.916,159.63
"2023-11-19","2023-11-19T16:00:00","2023-11-19T16:30:00",11.318,153.59
"2023-11-19","2023-11-19T16:30:00","2023-11-19T17:00:00",34.419,150.17
"2023-11-19","2023-11-19T17:00:00","2023-11-19T17:30:00",48.299,153.95
"2023-11-19","2023-11-19T17:30:00","2023-11-19T18:00:00",43.763,103.16
"2023-11-19","2023-11-19T18:00:00","2023-11-19T18:30:00",34.294,162.69
"2023-11-19","2023-11-19T18:30:00","2023-11-19T19:00:00",31.729,134.07
"2023-11-19","2023-11-19T19:00:00","2023-11-19T19:30:00",27.285,100.02
"2023-11-19","2023-11-19T19:30:00","2023-11-19T20:00:00",13.375,138.43
"2023-11-19","2023-11-19T20:00:00","2023-11-19T20:30:00",10.215,152.22
"2023-11-19","2023-11-19T20:30:00","2023-11-19T21:00:00",6.85,157.91
"2023-11-19","2023-11-19T21:00:00","2023-11-19T21:30:00",34.809,157.93
"2023-11-19","2023-11-19T21:30:00","2023-11-19T22:00:00",33.889,146.29
"2023-11-19","2023-11-19T22:00:00","2023-11-19T22:30:00",20.393,151.76
"2023-11-19","2023-11-19T22:30:00","2023-11-19T23:00:00",32.325,172.39
"2023-11-20","2023-11-19T23:00:00","2023-11-19T23:30:00",33.121,192.2
"2023-11-20","2023-11-19T23:30:00","2023-11-20T00:00:00",30.869,154.26
"2023-11-20","2023-11-20T00:00:00","2023-11-20T00:30:00",40.593,135.9
"2023-11-20","2023-11-20T00:30:00","2023-11-20T01:00:00",37.463,155.15
"2023-11-20","2023-11-20T01:00:00","2023-11-20T01:30:00",33.347,122.52
"2023-11-20","2023-11-20T01:30:00","2023-11-20T02:00:00",5.127,107.63
"2023-11-20","2023-11-20T02:00:00","2023-11-20T02:30:00",8.544,121.18
"2023-11-20","2023-11-20T02:30:00","2023-11-20T03:00:00",20.7,150.27
"2023-11-20","2023-11-20T03:00:00","2023-11-20T03:30:00",38.166,162.07
