TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
"2023-11-20","2023-11-19T23:00:00","2023-11-19T23:30:00",884.7,830,4082,2260.649,106.651
"2023-11-20","2023-11-19T23:30:00","2023-11-20T00:00:00",878.65,799,3995,2156.705,160.646
"2023-11-20","2023-11-20T00:00:00","2023-11-20T00:30:00",868.45,761,3764,2061.112,73.438
"2023-11-20","2023-11-20T00:30:00","2023-11-20T01:00:00",817.24,625,3648,2108.488,97.272
"2023-11-20","2023-11-20T01:00:00","2023-11-20T01:30:00",823.09,486,3554,2060.604,184.306
"2023-11-20","2023-11-20T01:30:00","2023-11-20T02:00:00",679.83,485,3532,2256.244,110.926
"2023-11-20","2023-11-20T02:00:00","2023-11-20T02:30:00",686.23,431,3473,2147.949,207.821
"2023-11-20","2023-11-20T02:30:00","2023-11-20T03:00:00",531.43,405,3443,2313.36,193.21
"2023-11-20","2023-11-20T03:00:00","2023-11-20T03:30:00",396.63,305,3401,2519.179,180.191
"2023-11-20","2023-11-20T03:30:00","2023-11-20T04:00:00",393.05,70,3372,2686.728,222.222
"2023-11-20","2023-11-20T04:00:00","2023-11-20T04:30:00",397.45,0,3388,2789.626,200.924
"2023-11-20","2023-11-20T04:30:00","2023-11-20T05:00:00",396.8,-150,3433,3011.563,174.637
"2023-11-20","2023-11-20T05:00:00","2023-11-20T05:30:00",407.83,-384,3463,3169.89,269.28
"2023-11-20","2023-11-20T05:30:00","2023-11-20T06:00:00",509.63,-422,3569,3341.041,140.329
"2023-11-20","2023-11-20T06:00:00","2023-11-20T06:30:00",963.05,-435,3747,3523.989,-305.039
"2023-11-20","2023-11-20T06:30:00","2023-11-20T07:00:00",1057.55,-507,4074,3605.753,-82.303
"2023-11-20","2023-11-20T07:00:00","2023-11-20T07:30:00",1374.4,-393,4424,3679.155,-236.555
"2023-11-20","2023-11-20T07:30:00","2023-11-20T08:00:00",1388.35,-429,4886,3730.123,196.527
"2023-11-20","2023-11-20T08:00:00","2023-11-20T08:30:00",1465.74,-271,5156,3877.426,83.834
"2023-11-20","2023-11-20T08:30:00","2023-11-20T09:00:00",1452.84,-173,5258,3920.298,57.862
"2023-11-20","2023-11-20T09:00:00","2023-11-20T09:30:00",1456.54,-81,5402,4042.518,-16.058
"2023-11-20","2023-11-20T09:30:00","2023-11-20T10:00:00",1464.84,0,5507,4087.544,-45.384
"2023-11-20","2023-11-20T10:00:00","2023-11-20T10:30:00",1464.19,0,5477,4222.283,-209.473
"2023-11-20","2023-11-20T10:30:00","2023-11-20T11:00:00",1440.7,0,5457,4251.289,-234.988
"2023-11-20","2023-11-20T11:00:00","2023-11-20T11:30:00",1405.05,0,5417,4384.74,-372.79
"2023-11-20","2023-11-20T11:30:00","2023-11-20T12:00:00",1391.7,-200,5392,4366.642,-166.342
"2023-11-20","2023-11-20T12:00:00","2023-11-20T12:30:00",1394.3,-300,5391,4391.122,-94.421
"2023-11-20","2023-11-20T12:30:00","2023-11-20T13:00:00",1421.2,-312,5414,4381.989,-77.188
"2023-11-20","2023-11-20T13:00:00","2023-11-20T13:30:00",1410.3,-354,5424,4390.334,-22.635
"2023-11-20","2023-11-20T13:30:00","2023-11-20T14:00:00",1462.9,-326,5308,4356.187,-185.086
"2023-11-20","2023-11-20T14:00:00","2023-11-20T14:30:00",1448.6,-325,5285,4362.066,-200.667
"2023-11-20","2023-11-20T14:30:00","2023-11-20T15:00:00",1459.1,-418,5293,4341.148,-89.249
"2023-11-20","2023-11-20T15:00:00","2023-11-20T15:30:00",1472.6,-250,5286,4329.76,-266.359
"2023-11-20","2023-11-20T15:30:00","2023-11-20T16:00:00",1463.1,-176,5412,4316.655,-191.755
"2023-11-20","2023-11-20T16:00:00","2023-11-20T16:30:00",1621.78,-109,5531,4207.995,-189.775
"2023-11-20","2023-11-20T16:30:00","2023-11-20T17:00:00",1629.93,0,5785,4177.18,-22.11
"2023-11-20","2023-11-20T17:00:00","2023-11-20T17:30:00",1751.51,120,6146,4154.672,119.818
"2023-11-20","2023-11-20T17:30:00","2023-11-20T18:00:00",1751.56,420,6275,4101.312,2.129
"2023-11-20","2023-11-20T18:00:00","2023-11-20T18:30:00",1754.86,409,6225,4110.138,-48.998
"2023-11-20","2023-11-20T18:30:00","2023-11-20T19:00:00",1753.71,400,6116,3998.023,-35.733
"2023-11-20","2023-11-20T19:00:00","2023-11-20T19:30:00",1718.11,308,5892,3933.665,-67.775
"2023-11-20","2023-11-20T19:30:00","2023-11-20T20:00:00",1718.66,201,5789,3806.051,63.289
"2023-11-20","2023-11-20T20:00:00","2023-11-20T20:30:00",1717.66,256,5628,3872.291,-217.951
"2023-11-20","2023-11-20T20:30:00","2023-11-20T21:00:00",1574.58,267,5466,3793.462,-169.042
"2023-11-20","2023-11-20T21:00:00","2023-11-20T21:30:00",1567.13,294,5317,3708.404,-252.534
"2023-11-20","2023-11-20T21:30:00","2023-11-20T22:00:00",1423.3,372,5101,3572.727,-267.026
"2023-11-20","2023-11-20T22:00:00","2023-11-20T22:30:00",1412.3,285,4839,3277.902,-136.202
"2023-11-20","2023-11-20T22:30:00","2023-11-20T23:00:00",1388.08,164,4604,3178.563,-126.643
"2023-11-21","2023-11-20T23:00:00","2023-11-20T23:30:00",1401.13,180,4430,2935.345,-86.475
"2023-11-21","2023-11-20T23:30:00","2023-11-21T00:00:00",1234.34,160,4294,2829.18,70.48
"2023-11-21","2023-11-21T00:00:00","2023-11-21T00:30:00",1300.81,220,4108,2678.596,-91.406
"2023-11-21","2023-11-21T00:30:00","2023-11-21T01:00:00",1085.01,230,4026,2567.713,143.277
"2023-11-21","2023-11-21T01:00:00","2023-11-21T01:30:00",1155.16,249,3899,2424.322,70.518
"2023-11-21","2023-11-21T01:30:00","2023-11-21T02:00:00",1150.26,425,3862,2255.115,31.625
"2023-11-21","2023-11-21T02:00:00","2023-11-21T02:30:00",1128.16,519,3781,2236.582,-102.742
"2023-11-21","2023-11-21T02:30:00","2023-11-21T03:00:00",1209.743,627,3771,2133.605,-199.349
"2023-11-21","2023-11-21T03:00:00","2023-11-21T03:30:00",1251.94,623,3755,2007.333,-127.272
"2023-11-21","2023-11-21T03:30:00","2023-11-21T04:00:00",1340.99,683,3726,1888.542,-186.532
"2023-11-21","2023-11-21T04:00:00","2023-11-21T04:30:00",1396.5,766,3700,1771.731,-234.231
"2023-11-21","2023-11-21T04:30:00","2023-11-21T05:00:00",1460.8,827,3714,1612.532,-186.333
"2023-11-21","2023-11-21T05:00:00","2023-11-21T05:30:00",1879.633,780,3761,1439.936,-338.568
"2023-11-21","2023-11-21T05:30:00","2023-11-21T06:00:00",1959.6,675,3872,1242.809,-5.409
"2023-11-21","2023-11-21T06:00:00","2023-11-21T06:30:00",2765.036,642,4067,1124.062,-464.098
"2023-11-21","2023-11-21T06:30:00","2023-11-21T07:00:00",2979.513,479,4392,951.955,-18.468
"2023-11-21","2023-11-21T07:00:00","2023-11-21T07:30:00",3596.2,553,4805,932.857,-277.058
"2023-11-21","2023-11-21T07:30:00","2023-11-21T08:00:00",4127.8,545,5274,790.779,-189.579
"2023-11-21","2023-11-21T08:00:00","2023-11-21T08:30:00",4293.75,695,5465,836.078,-359.828
"2023-11-21","2023-11-21T08:30:00","2023-11-21T09:00:00",4287.8,878,5562,719.266,-323.066
"2023-11-21","2023-11-21T09:00:00","2023-11-21T09:30:00",4421.18,924,5609,650.098,-386.277
"2023-11-21","2023-11-21T09:30:00","2023-11-21T10:00:00",4352.03,980,5710,587.228,-209.258
"2023-11-21","2023-11-21T10:00:00","2023-11-21T10:30:00",4349.13,980,5674,533.447,-188.577
"2023-11-21","2023-11-21T10:30:00","2023-11-21T11:00:00",4339.63,980,5612,499.209,-206.838
"2023-11-21","2023-11-21T11:00:00","2023-11-21T11:30:00",4324.53,980,5617,459.462,-146.992
"2023-11-21","2023-11-21T11:30:00","2023-11-21T12:00:00",4318.96,980,5585,439.459,-153.419
"2023-11-21","2023-11-21T12:00:00","2023-11-21T12:30:00",4336.96,980,5570,411.661,-158.622
"2023-11-21","2023-11-21T12:30:00","2023-11-21T13:00:00",4194.979,980,5616,416.302,24.718
"2023-11-21","2023-11-21T13:00:00","2023-11-21T13:30:00",4170.98,980,5608,423.396,33.624
