TradeDate,ResourceName,StartTime,EndTime,MeteredFlow,FlowVariance,ResidualCapacity
"2023-11-19","I_NIMOYLE","2023-11-19T00:00:00","2023-11-19T00:30:00",-173,-311.5,223
"2023-11-19","I_ROIEWIC","2023-11-19T00:00:00","2023-11-19T00:29:59",86.85,34.35,410
"2023-11-19","I_NIMOYLE","2023-11-19T01:00:00","2023-11-19T01:30:00",-197.5,-397.5,100
"2023-11-19","I_ROIEWIC","2023-11-19T01:00:00","2023-11-19T01:29:59",66.1,-13.4,356
"2023-11-19","I_NIMOYLE","2023-11-19T02:00:00","2023-11-19T02:30:00",-73.5,-183.5,280
"2023-11-19","I_ROIEWIC","2023-11-19T02:00:00","2023-11-19T02:29:59",74.19,-12.31,342
"2023-11-19","I_ROIEWIC","2023-11-19T03:00:00","2023-11-19T03:29:59",112.3,20.3,331
"2023-11-19","I_NIMOYLE","2023-11-19T03:00:00","2023-11-19T03:30:00",0.2,0.2,500
"2023-11-19","I_NIMOYLE","2023-11-19T04:00:00","2023-11-19T04:30:00",0.2,0.2,500
"2023-11-19","I_ROIEWIC","2023-11-19T04:00:00","2023-11-19T04:29:59",164.91,16.41,218
"2023-11-19","I_NIMOYLE","2023-11-19T05:00:00","2023-11-19T05:30:00",0.2,0.2,500
"2023-11-19","I_ROIEWIC","2023-11-19T05:00:00","2023-11-19T05:29:59",160.6,2.1,198
"2023-11-19","I_NIMOYLE","2023-11-19T06:00:00","2023-11-19T06:30:00",0.2,0.2,500
"2023-11-19","I_ROIEWIC","2023-11-19T06:00:00","2023-11-19T06:29:59",89.4,-29.6,277
"2023-11-19","I_NIMOYLE","2023-11-19T07:00:00","2023-11-19T07:30:00",97.5,22.5,350
"2023-11-19","I_ROIEWIC","2023-11-19T07:00:00","2023-11-19T07:29:59",6.62,-27.38,447
"2023-11-19","I_ROIEWIC","2023-11-19T08:00:00","2023-11-19T08:29:59",27.97,2.9705,465.001
"2023-11-19","I_NIMOYLE","2023-11-19T08:00:00","2023-11-19T08:30:00",0.3,-8.2,483
"2023-11-19","I_NIMOYLE","2023-11-19T09:00:00","2023-11-19T09:30:00",-21.5,-71.4995,400.001
"2023-11-19","I_ROIEWIC","2023-11-19T09:00:00","2023-11-19T09:29:59",-1.31,-1.31,515
"2023-11-19","I_ROIEWIC","2023-11-19T10:00:00","2023-11-19T10:29:59",-1.32,-1.32,515
"2023-11-19","I_NIMOYLE","2023-11-19T10:00:00","2023-11-19T10:30:00",12.1,12.1,500
"2023-11-19","I_NIMOYLE","2023-11-19T11:00:00","2023-11-19T11:30:00",22.4,22.4,500
"2023-11-19","I_ROIEWIC","2023-11-19T11:00:00","2023-11-19T11:29:59",-1.31,-1.31,515
"2023-11-19","I_NIMOYLE","2023-11-19T12:00:00","2023-11-19T12:30:00",-2.4,-2.4,500
"2023-11-19","I_ROIEWIC","2023-11-19T12:00:00","2023-11-19T12:29:59",-1.32,-1.32,515
"2023-11-19","I_ROIEWIC","2023-11-19T13:00:00","2023-11-19T13:29:59",-1.32,-1.32,515
"2023-11-19","I_NIMOYLE","2023-11-19T13:00:00","2023-11-19T13:30:00",-51.5,-84.4995,434.001
"2023-11-19","I_ROIEWIC","2023-11-19T14:00:00","2023-11-19T14:29:59",-1.32,-1.32,515
"2023-11-19","I_NIMOYLE","2023-11-19T14:00:00","2023-11-19T14:30:00",-111.2,-241.7,239
"2023-11-19","I_NIMOYLE","2023-11-19T15:00:00","2023-11-19T15:30:00",18.9,18.9,500
"2023-11-19","I_ROIEWIC","2023-11-19T15:00:00","2023-11-19T15:29:59",-5.59,-30.59,465
"2023-11-19","I_NIMOYLE","2023-11-19T16:00:00","2023-11-19T16:30:00",-62.1,-109.1,406
"2023-11-19","I_ROIEWIC","2023-11-19T16:00:00","2023-11-19T16:29:59",-3.78,-3.78,515
"2023-11-19","I_NIMOYLE","2023-11-19T17:00:00","2023-11-19T17:30:00",37.1,37.1,500
"2023-11-19","I_ROIEWIC","2023-11-19T17:00:00","2023-11-19T17:29:59",35.18,35.18,515
"2023-11-19","I_ROIEWIC","2023-11-19T18:00:00","2023-11-19T18:29:59",-1.19,-5.19,507
"2023-11-19","I_NIMOYLE","2023-11-19T18:00:00","2023-11-19T18:30:00",124.6,-0.4,250
"2023-11-19","I_NIMOYLE","2023-11-19T19:00:00","2023-11-19T19:30:00",124.6,-0.4,250
"2023-11-19","I_ROIEWIC","2023-11-19T19:00:00","2023-11-19T19:29:59",86.15,23.15,389
"2023-11-19","I_NIMOYLE","2023-11-19T20:00:00","2023-11-19T20:30:00",124.6,-0.4,250
"2023-11-19","I_ROIEWIC","2023-11-19T20:00:00","2023-11-19T20:29:59",222.02,22.02,115
"2023-11-19","I_ROIEWIC","2023-11-19T21:00:00","2023-11-19T21:29:59",228.33,-1.67,55
"2023-11-19","I_NIMOYLE","2023-11-19T21:00:00","2023-11-19T21:30:00",124.7,-0.3,250
"2023-11-19","I_NIMOYLE","2023-11-19T22:00:00","2023-11-19T22:30:00",128.7,3.7,250
"2023-11-19","I_ROIEWIC","2023-11-19T22:00:00","2023-11-19T22:29:59",228.15,-1.85,55
"2023-11-20","I_ROIEWIC","2023-11-19T23:00:00","2023-11-19T23:29:59",250.37,-14.63,-15
"2023-11-20","I_ROIEWIC","2023-11-20T01:00:00","2023-11-20T01:29:59",72.58,-20.42,329
"2023-11-20","I_ROIEWIC","2023-11-20T02:00:00","2023-11-20T02:29:59",39.66,-25.84,384
"2023-11-20","I_NIMOYLE","2023-11-20T03:00:00","2023-11-20T03:30:00",72.5,-37.5,280
"2023-11-20","I_ROIEWIC","2023-11-20T03:00:00","2023-11-20T03:29:59",11.05,-31.4495,430.001
"2023-11-20","I_NIMOYLE","2023-11-20T04:00:00","2023-11-20T04:30:00",-36.8,-36.8,500
"2023-11-20","I_ROIEWIC","2023-11-20T04:00:00","2023-11-20T04:29:59",-1.26,-1.26,515
"2023-11-20","I_NIMOYLE","2023-11-20T05:00:00","2023-11-20T05:30:00",-173.4,-323.4,200
"2023-11-20","I_ROIEWIC","2023-11-20T05:00:00","2023-11-20T05:29:59",-65.42,-107.42,431
"2023-11-20","I_ROIEWIC","2023-11-20T06:00:00","2023-11-20T06:29:59",-73.42,-126.92,408
"2023-11-20","I_NIMOYLE","2023-11-20T06:00:00","2023-11-20T06:30:00",-190.5,-354.5,172
"2023-11-20","I_NIMOYLE","2023-11-20T07:00:00","2023-11-20T07:30:00",-199.1,-395.6,107
"2023-11-20","I_ROIEWIC","2023-11-20T07:00:00","2023-11-20T07:29:59",-12.8,-12.8,515
"2023-11-20","I_NIMOYLE","2023-11-20T08:00:00","2023-11-20T08:30:00",-100.1,-235.6,229
"2023-11-20","I_ROIEWIC","2023-11-20T08:00:00","2023-11-20T08:29:59",-1.3,-1.3,515
"2023-11-20","I_NIMOYLE","2023-11-20T09:00:00","2023-11-20T09:30:00",-9.9,-47.9,424
"2023-11-20","I_ROIEWIC","2023-11-20T09:00:00","2023-11-20T09:29:59",-1.33,-3.8295,510.001
"2023-11-20","I_NIMOYLE","2023-11-20T10:00:00","2023-11-20T10:30:00",0,0,500
"2023-11-20","I_ROIEWIC","2023-11-20T10:00:00","2023-11-20T10:29:59",-1.3,-1.3,515
"2023-11-20","I_NIMOYLE","2023-11-20T11:00:00","2023-11-20T11:30:00",-36.9,-36.9,500
"2023-11-20","I_ROIEWIC","2023-11-20T11:00:00","2023-11-20T11:29:59",-30.44,-30.44,515
"2023-11-20","I_NIMOYLE","2023-11-20T12:00:00","2023-11-20T12:30:00",-162.5,-312.5,200
"2023-11-20","I_ROIEWIC","2023-11-20T12:00:00","2023-11-20T12:29:59",-1.3,-1.3,515
"2023-11-20","I_ROIEWIC","2023-11-20T13:00:00","2023-11-20T13:29:59",-19.79,-19.79,515
"2023-11-20","I_NIMOYLE","2023-11-20T13:00:00","2023-11-20T13:30:00",-186.8,-363.8,146
"2023-11-20","I_ROIEWIC","2023-11-20T14:00:00","2023-11-20T14:29:59",-24.32,-24.32,515
"2023-11-20","I_NIMOYLE","2023-11-20T14:00:00","2023-11-20T14:30:00",-189.7,-352.2,175
"2023-11-20","I_NIMOYLE","2023-11-20T15:00:00","2023-11-20T15:30:00",-92.1,-217.1,250
"2023-11-20","I_ROIEWIC","2023-11-20T15:00:00","2023-11-20T15:29:59",-1.3,-1.3,515
"2023-11-20","I_ROIEWIC","2023-11-20T16:00:00","2023-11-20T16:29:59",-1.3,-1.3,515
"2023-11-20","I_NIMOYLE","2023-11-20T16:00:00","2023-11-20T16:30:00",-20,-74.5,391
"2023-11-20","I_NIMOYLE","2023-11-20T17:00:00","2023-11-20T17:30:00",97.5,37.5,380
"2023-11-20","I_ROIEWIC","2023-11-20T17:00:00","2023-11-20T17:29:59",36.77,36.77,515
"2023-11-20","I_ROIEWIC","2023-11-20T18:00:00","2023-11-20T18:29:59",5.69,-27.31,449
"2023-11-20","I_NIMOYLE","2023-11-20T18:00:00","2023-11-20T18:30:00",168.7,-2.8,157
"2023-11-20","I_NIMOYLE","2023-11-20T19:00:00","2023-11-20T19:30:00",117.8,-36.2,192
"2023-11-20","I_NIMOYLE","2023-11-20T20:00:00","2023-11-20T20:30:00",125,-3,244
"2023-11-20","I_NIMOYLE","2023-11-20T21:00:00","2023-11-20T21:30:00",152.3,5.3,206
"2023-11-20","I_NIMOYLE","2023-11-20T22:00:00","2023-11-20T22:30:00",105.5,-37,215
"2023-11-21","I_NIMOYLE","2023-11-21T01:00:00","2023-11-21T01:30:00",134.5,14.5,260
"2023-11-21","I_ROIEWIC","2023-11-21T01:00:00","2023-11-21T01:29:59",38.17,33.67,506
"2023-11-21","I_NIMOYLE","2023-11-21T02:00:00","2023-11-21T02:30:00",169.5,4.5,170
"2023-11-21","I_ROIEWIC","2023-11-21T02:00:00","2023-11-21T02:29:59",125.45,30.95,326
"2023-11-21","I_NIMOYLE","2023-11-21T03:00:00","2023-11-21T03:30:00",167,2,170
"2023-11-21","I_ROIEWIC","2023-11-21T03:00:00","2023-11-21T03:29:59",152.03,5.53,222
"2023-11-21","I_NIMOYLE","2023-11-21T04:00:00","2023-11-21T04:30:00",162.2,-12.8,150
"2023-11-21","I_ROIEWIC","2023-11-21T04:00:00","2023-11-21T04:29:59",225.48,17.48,99
"2023-11-21","I_NIMOYLE","2023-11-21T05:00:00","2023-11-21T05:30:00",167.4,-20.1,125
"2023-11-21","I_ROIEWIC","2023-11-21T05:00:00","2023-11-21T05:29:59",165.77,-36.73,110
"2023-11-21","I_ROIEWIC","2023-11-21T06:00:00","2023-11-21T06:29:59",66.92,-38.08,305
"2023-11-21","I_NIMOYLE","2023-11-21T06:00:00","2023-11-21T06:30:00",193.4,-22.6,68
"2023-11-21","I_NIMOYLE","2023-11-21T07:00:00","2023-11-21T07:30:00",215.1,-9.9,50
"2023-11-21","I_ROIEWIC","2023-11-21T07:00:00","2023-11-21T07:29:59",51.58,0.08,412
"2023-11-21","I_NIMOYLE","2023-11-21T08:00:00","2023-11-21T08:30:00",214.9,27.4,125
"2023-11-21","I_ROIEWIC","2023-11-21T08:00:00","2023-11-21T08:29:59",193.9,33.9,195
"2023-11-21","I_ROIEWIC","2023-11-21T09:00:00","2023-11-21T09:29:59",257.89,20.89,41
"2023-11-21","I_NIMOYLE","2023-11-21T09:00:00","2023-11-21T09:30:00",224.4,-0.6,50
"2023-11-21","I_ROIEWIC","2023-11-21T10:00:00","2023-11-21T10:29:59",263.44,-1.56,-15
"2023-11-21","I_NIMOYLE","2023-11-21T10:00:00","2023-11-21T10:30:00",224.3,-0.7,50
"2023-11-21","I_ROIEWIC","2023-11-21T11:00:00","2023-11-21T11:29:59",263.1,-1.9,-15
"2023-11-21","I_NIMOYLE","2023-11-21T11:00:00","2023-11-21T11:30:00",224.3,-0.7,50
"2023-11-21","I_NIMOYLE","2023-11-21T12:00:00","2023-11-21T12:30:00",224.3,-0.7,50
"2023-11-21","I_ROIEWIC","2023-11-21T12:00:00","2023-11-21T12:29:59",263.19,-1.81,-15
"2023-11-21","I_NIMOYLE","2023-11-21T13:00:00","2023-11-21T13:30:00",224.4,-0.6,50
"2023-11-21","I_ROIEWIC","2023-11-21T13:00:00","2023-11-21T13:29:59",263.84,-1.16,-15
"2023-11-21","I_ROIEWIC","2023-11-21T14:00:00","2023-11-21T14:29:59",263.79,-1.21,-15
