TradeDate,DeliveryDate,StartTime,EndTime,MW
2023-11-19,2023-11-18,2023-11-18T23:00:00,2023-11-18T23:30:00,3363.8
2023-11-19,2023-11-18,2023-11-18T23:30:00,2023-11-19T00:00:00,3357.1
2023-11-19,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,3292.6
2023-11-19,2023-11-19,2023-11-19T00:30:00,2023-11-19T01:00:00,3285.7
2023-11-19,2023-11-19,2023-11-19T01:00:00,2023-11-19T01:30:00,3231.0
2023-11-19,2023-11-19,2023-11-19T01:30:00,2023-11-19T02:00:00,3220.4
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:30:00,3139.4
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T03:00:00,3123.9
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,3033.6
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,3018.5
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,2911.1
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,2895.3
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:30:00,2825.1
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T06:00:00,2808.1
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:30:00,2748.5
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T07:00:00,2750.4
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T08:00:00,2770.1
2023-11-19,2023-11-19,2023-11-19T08:00:00,2023-11-19T08:30:00,2817.6
2023-11-19,2023-11-19,2023-11-19T08:30:00,2023-11-19T09:00:00,2828.5
2023-11-19,2023-11-19,2023-11-19T09:00:00,2023-11-19T09:30:00,2960.8
2023-11-19,2023-11-19,2023-11-19T09:30:00,2023-11-19T10:00:00,2974.9
2023-11-19,2023-11-19,2023-11-19T10:00:00,2023-11-19T10:30:00,3079.2
2023-11-19,2023-11-19,2023-11-19T10:30:00,2023-11-19T11:00:00,3089.0
2023-11-19,2023-11-19,2023-11-19T11:00:00,2023-11-19T11:30:00,3182.6
2023-11-19,2023-11-19,2023-11-19T11:00:00,2023-11-19T11:30:00,3185.9
2023-11-19,2023-11-19,2023-11-19T11:30:00,2023-11-19T12:00:00,3191.0
2023-11-19,2023-11-19,2023-11-19T11:30:00,2023-11-19T12:00:00,3193.8
2023-11-19,2023-11-19,2023-11-19T12:00:00,2023-11-19T12:30:00,3286.4
2023-11-19,2023-11-19,2023-11-19T12:00:00,2023-11-19T12:30:00,3286.6
2023-11-19,2023-11-19,2023-11-19T12:30:00,2023-11-19T13:00:00,3294.1
2023-11-19,2023-11-19,2023-11-19T12:30:00,2023-11-19T13:00:00,3293.7
2023-11-19,2023-11-19,2023-11-19T13:00:00,2023-11-19T13:30:00,3348.3
2023-11-19,2023-11-19,2023-11-19T13:00:00,2023-11-19T13:30:00,3352.0
2023-11-19,2023-11-19,2023-11-19T13:30:00,2023-11-19T14:00:00,3355.0
2023-11-19,2023-11-19,2023-11-19T13:30:00,2023-11-19T14:00:00,3349.0
2023-11-19,2023-11-19,2023-11-19T14:00:00,2023-11-19T14:30:00,3316.3
2023-11-19,2023-11-19,2023-11-19T14:00:00,2023-11-19T14:30:00,3311.6
2023-11-19,2023-11-19,2023-11-19T14:30:00,2023-11-19T15:00:00,3308.9
2023-11-19,2023-11-19,2023-11-19T14:30:00,2023-11-19T15:00:00,3297.9
2023-11-19,2023-11-19,2023-11-19T15:00:00,2023-11-19T15:30:00,3250.8
2023-11-19,2023-11-19,2023-11-19T15:00:00,2023-11-19T15:30:00,3243.1
2023-11-19,2023-11-19,2023-11-19T15:30:00,2023-11-19T16:00:00,3227.4
2023-11-19,2023-11-19,2023-11-19T15:30:00,2023-11-19T16:00:00,3233.1
2023-11-19,2023-11-19,2023-11-19T16:00:00,2023-11-19T16:30:00,3102.7
2023-11-19,2023-11-19,2023-11-19T16:00:00,2023-11-19T16:30:00,3102.0
2023-11-19,2023-11-19,2023-11-19T16:30:00,2023-11-19T17:00:00,3086.6
2023-11-19,2023-11-19,2023-11-19T16:30:00,2023-11-19T17:00:00,3092.6
2023-11-19,2023-11-19,2023-11-19T17:00:00,2023-11-19T17:30:00,2997.4
2023-11-19,2023-11-19,2023-11-19T17:00:00,2023-11-19T17:30:00,3004.9
2023-11-19,2023-11-19,2023-11-19T17:00:00,2023-11-19T17:30:00,2991.1
2023-11-19,2023-11-19,2023-11-19T17:30:00,2023-11-19T18:00:00,2988.9
2023-11-19,2023-11-19,2023-11-19T17:30:00,2023-11-19T18:00:00,2983.6
2023-11-19,2023-11-19,2023-11-19T17:30:00,2023-11-19T18:00:00,2978.9
2023-11-19,2023-11-19,2023-11-19T18:00:00,2023-11-19T18:30:00,2864.7
2023-11-19,2023-11-19,2023-11-19T18:00:00,2023-11-19T18:30:00,2862.7
2023-11-19,2023-11-19,2023-11-19T18:30:00,2023-11-19T19:00:00,2838.4
2023-11-19,2023-11-19,2023-11-19T18:30:00,2023-11-19T19:00:00,2821.7
2023-11-19,2023-11-19,2023-11-19T18:30:00,2023-11-19T19:00:00,2817.8
2023-11-19,2023-11-19,2023-11-19T19:00:00,2023-11-19T19:30:00,2657.8
2023-11-19,2023-11-19,2023-11-19T19:00:00,2023-11-19T19:30:00,2704.4
2023-11-19,2023-11-19,2023-11-19T19:00:00,2023-11-19T19:30:00,2663.8
2023-11-19,2023-11-19,2023-11-19T19:30:00,2023-11-19T20:00:00,2579.9
2023-11-19,2023-11-19,2023-11-19T19:30:00,2023-11-19T20:00:00,2580.0
2023-11-19,2023-11-19,2023-11-19T19:30:00,2023-11-19T20:00:00,2676.4
2023-11-19,2023-11-19,2023-11-19T20:00:00,2023-11-19T20:30:00,2494.3
2023-11-19,2023-11-19,2023-11-19T20:00:00,2023-11-19T20:30:00,2358.8
2023-11-19,2023-11-19,2023-11-19T20:00:00,2023-11-19T20:30:00,2379.7
2023-11-19,2023-11-19,2023-11-19T20:30:00,2023-11-19T21:00:00,2466.4
2023-11-19,2023-11-19,2023-11-19T20:30:00,2023-11-19T21:00:00,2284.9
2023-11-19,2023-11-19,2023-11-19T20:30:00,2023-11-19T21:00:00,2316.8
2023-11-19,2023-11-19,2023-11-19T21:00:00,2023-11-19T21:30:00,2118.5
2023-11-19,2023-11-19,2023-11-19T21:00:00,2023-11-19T21:30:00,2294.6
2023-11-19,2023-11-19,2023-11-19T21:00:00,2023-11-19T21:30:00,2080.3
2023-11-19,2023-11-19,2023-11-19T21:30:00,2023-11-19T22:00:00,2067.9
2023-11-19,2023-11-19,2023-11-19T21:30:00,2023-11-19T22:00:00,2269.3
2023-11-19,2023-11-19,2023-11-19T21:30:00,2023-11-19T22:00:00,2037.0
2023-11-19,2023-11-19,2023-11-19T22:00:00,2023-11-19T22:30:00,2116.2
2023-11-19,2023-11-19,2023-11-19T22:00:00,2023-11-19T22:30:00,1879.4
2023-11-19,2023-11-19,2023-11-19T22:00:00,2023-11-19T22:30:00,1903.3
2023-11-19,2023-11-19,2023-11-19T22:30:00,2023-11-19T23:00:00,1890.8
2023-11-19,2023-11-19,2023-11-19T22:30:00,2023-11-19T23:00:00,2100.3
2023-11-19,2023-11-19,2023-11-19T22:30:00,2023-11-19T23:00:00,1874.5
2023-11-20,2023-11-19,2023-11-19T23:00:00,2023-11-19T23:30:00,1704.6
2023-11-20,2023-11-19,2023-11-19T23:30:00,2023-11-20T00:00:00,1719.2
2023-11-20,2023-11-20,2023-11-20T00:00:00,2023-11-20T00:30:00,1746.6
2023-11-20,2023-11-20,2023-11-20T00:30:00,2023-11-20T01:00:00,1780.6
2023-11-20,2023-11-20,2023-11-20T01:00:00,2023-11-20T01:30:00,1924.2
2023-11-20,2023-11-20,2023-11-20T01:30:00,2023-11-20T02:00:00,1930.4
2023-11-20,2023-11-20,2023-11-20T02:00:00,2023-11-20T02:30:00,2137.0
2023-11-20,2023-11-20,2023-11-20T02:30:00,2023-11-20T03:00:00,2163.4
2023-11-20,2023-11-20,2023-11-20T03:00:00,2023-11-20T03:30:00,2391.4
2023-11-20,2023-11-20,2023-11-20T03:30:00,2023-11-20T04:00:00,2434.2
2023-11-20,2023-11-20,2023-11-20T04:00:00,2023-11-20T04:30:00,2630.1
2023-11-20,2023-11-20,2023-11-20T04:30:00,2023-11-20T05:00:00,2680.3
2023-11-20,2023-11-20,2023-11-20T05:00:00,2023-11-20T05:30:00,2829.6
2023-11-20,2023-11-20,2023-11-20T05:30:00,2023-11-20T06:00:00,2834.1
2023-11-20,2023-11-20,2023-11-20T06:00:00,2023-11-20T06:30:00,2941.3
2023-11-20,2023-11-20,2023-11-20T06:30:00,2023-11-20T07:00:00,2960.6
2023-11-20,2023-11-20,2023-11-20T07:00:00,2023-11-20T07:30:00,3070.1
2023-11-20,2023-11-20,2023-11-20T07:30:00,2023-11-20T08:00:00,3072.1
2023-11-20,2023-11-20,2023-11-20T08:00:00,2023-11-20T08:30:00,3130.0
2023-11-20,2023-11-20,2023-11-20T08:30:00,2023-11-20T09:00:00,3126.1
2023-11-20,2023-11-20,2023-11-20T09:00:00,2023-11-20T09:30:00,3182.5
2023-11-20,2023-11-20,2023-11-20T09:30:00,2023-11-20T10:00:00,3191.4
2023-11-20,2023-11-20,2023-11-20T10:00:00,2023-11-20T10:30:00,3226.5
2023-11-20,2023-11-20,2023-11-20T10:30:00,2023-11-20T11:00:00,3227.8
2023-11-20,2023-11-20,2023-11-20T11:00:00,2023-11-20T11:30:00,3344.7
2023-11-20,2023-11-20,2023-11-20T11:00:00,2023-11-20T11:30:00,3266.4
2023-11-20,2023-11-20,2023-11-20T11:30:00,2023-11-20T12:00:00,3278.8
2023-11-20,2023-11-20,2023-11-20T11:30:00,2023-11-20T12:00:00,3356.0
2023-11-20,2023-11-20,2023-11-20T12:00:00,2023-11-20T12:30:00,3321.5
2023-11-20,2023-11-20,2023-11-20T12:00:00,2023-11-20T12:30:00,3399.0
2023-11-20,2023-11-20,2023-11-20T12:30:00,2023-11-20T13:00:00,3330.3
2023-11-20,2023-11-20,2023-11-20T12:30:00,2023-11-20T13:00:00,3414.9
2023-11-20,2023-11-20,2023-11-20T13:00:00,2023-11-20T13:30:00,3331.6
2023-11-20,2023-11-20,2023-11-20T13:00:00,2023-11-20T13:30:00,3419.1
2023-11-20,2023-11-20,2023-11-20T13:30:00,2023-11-20T14:00:00,3402.9
2023-11-20,2023-11-20,2023-11-20T13:30:00,2023-11-20T14:00:00,3306.9
2023-11-20,2023-11-20,2023-11-20T14:00:00,2023-11-20T14:30:00,3259.3
2023-11-20,2023-11-20,2023-11-20T14:00:00,2023-11-20T14:30:00,3355.3
2023-11-20,2023-11-20,2023-11-20T14:30:00,2023-11-20T15:00:00,3240.1
2023-11-20,2023-11-20,2023-11-20T14:30:00,2023-11-20T15:00:00,3336.0
2023-11-20,2023-11-20,2023-11-20T15:00:00,2023-11-20T15:30:00,3178.3
2023-11-20,2023-11-20,2023-11-20T15:00:00,2023-11-20T15:30:00,3268.8
2023-11-20,2023-11-20,2023-11-20T15:30:00,2023-11-20T16:00:00,3156.7
2023-11-20,2023-11-20,2023-11-20T15:30:00,2023-11-20T16:00:00,3246.6
2023-11-20,2023-11-20,2023-11-20T16:00:00,2023-11-20T16:30:00,3080.3
2023-11-20,2023-11-20,2023-11-20T16:00:00,2023-11-20T16:30:00,3172.6
2023-11-20,2023-11-20,2023-11-20T16:30:00,2023-11-20T17:00:00,3160.2
2023-11-20,2023-11-20,2023-11-20T16:30:00,2023-11-20T17:00:00,3082.1
2023-11-20,2023-11-20,2023-11-20T17:00:00,2023-11-20T17:30:00,3026.5
2023-11-20,2023-11-20,2023-11-20T17:00:00,2023-11-20T17:30:00,3098.9
2023-11-20,2023-11-20,2023-11-20T17:00:00,2023-11-20T17:30:00,3085.7
2023-11-20,2023-11-20,2023-11-20T17:30:00,2023-11-20T18:00:00,3007.1
2023-11-20,2023-11-20,2023-11-20T17:30:00,2023-11-20T18:00:00,3094.0
2023-11-20,2023-11-20,2023-11-20T17:30:00,2023-11-20T18:00:00,3086.4
2023-11-20,2023-11-20,2023-11-20T18:00:00,2023-11-20T18:30:00,3031.2
2023-11-20,2023-11-20,2023-11-20T18:00:00,2023-11-20T18:30:00,3029.5
2023-11-20,2023-11-20,2023-11-20T18:00:00,2023-11-20T18:30:00,2944.7
2023-11-20,2023-11-20,2023-11-20T18:30:00,2023-11-20T19:00:00,2909.3
2023-11-20,2023-11-20,2023-11-20T18:30:00,2023-11-20T19:00:00,3011.2
2023-11-20,2023-11-20,2023-11-20T18:30:00,2023-11-20T19:00:00,3006.8
2023-11-20,2023-11-20,2023-11-20T19:00:00,2023-11-20T19:30:00,2811.8
