TradeDate,DeliveryDate,StartTime,EndTime,MW
2020-04-28,2020-04-28,2020-04-28T14:30:00,2020-04-28T15:00:00,-4105.4
2020-04-28,2020-04-28,2020-04-28T15:00:00,2020-04-28T15:30:00,-4211.6
2020-04-28,2020-04-28,2020-04-28T15:30:00,2020-04-28T16:00:00,-4258.8
2020-04-28,2020-04-28,2020-04-28T16:00:00,2020-04-28T16:30:00,-4333.3
2020-04-28,2020-04-28,2020-04-28T16:30:00,2020-04-28T17:00:00,-4388.3
2020-04-28,2020-04-28,2020-04-28T17:00:00,2020-04-28T17:30:00,-4388.9
2020-04-28,2020-04-28,2020-04-28T17:30:00,2020-04-28T18:00:00,-4342.8
2020-04-28,2020-04-28,2020-04-28T18:00:00,2020-04-28T18:30:00,-4188.5
2020-04-28,2020-04-28,2020-04-28T18:30:00,2020-04-28T19:00:00,-4086.8
2020-04-28,2020-04-28,2020-04-28T19:00:00,2020-04-28T19:30:00,-4028.8
2020-04-28,2020-04-28,2020-04-28T19:30:00,2020-04-28T20:00:00,-4083.2
2020-04-28,2020-04-28,2020-04-28T20:00:00,2020-04-28T20:30:00,-4098.0
2020-04-28,2020-04-28,2020-04-28T20:30:00,2020-04-28T21:00:00,-4108.9
2020-04-28,2020-04-28,2020-04-28T21:00:00,2020-04-28T21:30:00,-3797.9
2020-04-28,2020-04-28,2020-04-28T21:30:00,2020-04-28T22:00:00,-3673.5
2023-11-19,2023-11-18,2023-11-18T23:00:00,2023-11-18T23:30:00,-3696.3
2023-11-19,2023-11-18,2023-11-18T23:30:00,2023-11-19T00:00:00,-3751.0
2023-11-19,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,-3480.0
2023-11-19,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,-3480.0
2023-11-19,2023-11-19,2023-11-19T00:30:00,2023-11-19T01:00:00,-3458.6
2023-11-19,2023-11-19,2023-11-19T00:30:00,2023-11-19T01:00:00,-3458.6
2023-11-19,2023-11-19,2023-11-19T01:00:00,2023-11-19T01:30:00,-3262.8
2023-11-19,2023-11-19,2023-11-19T01:00:00,2023-11-19T01:30:00,-3262.8
2023-11-19,2023-11-19,2023-11-19T01:00:00,2023-11-19T01:30:00,-3262.8
2023-11-19,2023-11-19,2023-11-19T01:30:00,2023-11-19T02:00:00,-3302.7
2023-11-19,2023-11-19,2023-11-19T01:30:00,2023-11-19T02:00:00,-3302.7
2023-11-19,2023-11-19,2023-11-19T01:30:00,2023-11-19T02:00:00,-3302.7
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:30:00,-3215.0
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:30:00,-3215.0
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:30:00,-3215.0
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:30:00,-3215.0
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T03:00:00,-3218.6
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T03:00:00,-3218.6
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T03:00:00,-3218.6
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T03:00:00,-3218.6
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,-3180.8
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,-3180.8
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,-3180.8
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,-3180.8
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,-3180.8
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,-3175.4
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,-3175.4
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,-3175.4
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,-3175.4
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,-3175.4
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,-3159.4
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,-3159.4
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,-3159.4
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,-3159.4
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,-3159.4
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,-3159.4
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,-3133.9
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,-3133.9
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,-3133.9
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,-3133.9
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,-3133.9
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,-3133.9
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:30:00,-3162.0
