TradeDate,DeliveryDate,StartTime,EndTime,MW
2020-04-28,2020-04-28,2020-04-28T14:30:00,2020-04-28T15:00:00,255.2
2020-04-28,2020-04-28,2020-04-28T15:00:00,2020-04-28T15:30:00,251.6
2020-04-28,2020-04-28,2020-04-28T15:30:00,2020-04-28T16:00:00,254.5
2020-04-28,2020-04-28,2020-04-28T16:00:00,2020-04-28T16:30:00,252.9
2020-04-28,2020-04-28,2020-04-28T16:30:00,2020-04-28T17:00:00,254.0
2020-04-28,2020-04-28,2020-04-28T17:00:00,2020-04-28T17:30:00,251.6
2020-04-28,2020-04-28,2020-04-28T17:30:00,2020-04-28T18:00:00,251.7
2020-04-28,2020-04-28,2020-04-28T18:00:00,2020-04-28T18:30:00,266.9
2020-04-28,2020-04-28,2020-04-28T18:30:00,2020-04-28T19:00:00,267.5
2020-04-28,2020-04-28,2020-04-28T19:00:00,2020-04-28T19:30:00,303.5
2020-04-28,2020-04-28,2020-04-28T19:30:00,2020-04-28T20:00:00,307.6
2020-04-28,2020-04-28,2020-04-28T20:00:00,2020-04-28T20:30:00,356.3
2020-04-28,2020-04-28,2020-04-28T20:30:00,2020-04-28T21:00:00,359.9
2020-04-28,2020-04-28,2020-04-28T21:00:00,2020-04-28T21:30:00,414.2
2020-04-28,2020-04-28,2020-04-28T21:30:00,2020-04-28T22:00:00,424.4
2023-11-19,2023-11-18,2023-11-18T23:00:00,2023-11-18T23:30:00,3363.8
2023-11-19,2023-11-18,2023-11-18T23:30:00,2023-11-19T00:00:00,3357.1
2023-11-19,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,3292.6
2023-11-19,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,3292.6
2023-11-19,2023-11-19,2023-11-19T00:30:00,2023-11-19T01:00:00,3285.7
2023-11-19,2023-11-19,2023-11-19T00:30:00,2023-11-19T01:00:00,3285.7
2023-11-19,2023-11-19,2023-11-19T01:00:00,2023-11-19T01:30:00,3231.0
2023-11-19,2023-11-19,2023-11-19T01:00:00,2023-11-19T01:30:00,3231.0
2023-11-19,2023-11-19,2023-11-19T01:00:00,2023-11-19T01:30:00,3231.0
2023-11-19,2023-11-19,2023-11-19T01:30:00,2023-11-19T02:00:00,3220.4
2023-11-19,2023-11-19,2023-11-19T01:30:00,2023-11-19T02:00:00,3220.4
2023-11-19,2023-11-19,2023-11-19T01:30:00,2023-11-19T02:00:00,3220.4
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:30:00,3139.4
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:30:00,3139.4
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:30:00,3139.4
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:30:00,3139.4
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T03:00:00,3123.9
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T03:00:00,3123.9
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T03:00:00,3123.9
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T03:00:00,3123.9
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,3033.6
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,3033.6
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,3033.6
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,3033.6
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:30:00,3033.6
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,3018.5
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,3018.5
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,3018.5
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,3018.5
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T04:00:00,3018.5
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,2911.1
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,2911.1
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,2911.1
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,2911.1
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,2911.1
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:30:00,2911.1
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,2895.3
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,2895.3
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,2895.3
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,2895.3
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,2895.3
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T05:00:00,2895.3
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:30:00,2825.1
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:30:00,2825.1
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:30:00,2825.1
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:30:00,2825.1
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:30:00,2825.1
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:30:00,2825.1
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:30:00,2825.1
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T06:00:00,2808.1
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T06:00:00,2808.1
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T06:00:00,2808.1
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T06:00:00,2808.1
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T06:00:00,2808.1
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T06:00:00,2808.1
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T06:00:00,2808.1
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:30:00,2748.5
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:30:00,2748.5
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:30:00,2748.5
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:30:00,2748.5
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:30:00,2748.5
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:30:00,2748.5
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:30:00,2748.5
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:30:00,2748.5
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T07:00:00,2750.4
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T07:00:00,2750.4
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T07:00:00,2750.4
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T07:00:00,2750.4
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T07:00:00,2750.4
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T07:00:00,2750.4
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T07:00:00,2750.4
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T07:00:00,2750.4
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:30:00,2764.5
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T08:00:00,2770.1
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T08:00:00,2770.1
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T08:00:00,2770.1
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T08:00:00,2770.1
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T08:00:00,2770.1
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T08:00:00,2770.1
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T08:00:00,2770.1
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T08:00:00,2770.1
