TradeDate,DeliveryDate,StartTime,EndTime,Forecast
2023-11-19,2023-11-18,2023-11-18T23:00:00,2023-11-18T23:15:00,4295.055
2023-11-19,2023-11-18,2023-11-18T23:15:00,2023-11-18T23:30:00,4273.125
2023-11-19,2023-11-18,2023-11-18T23:30:00,2023-11-18T23:45:00,4251.173
2023-11-19,2023-11-18,2023-11-18T23:45:00,2023-11-19T00:00:00,4229.241
2023-11-19,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:15:00,4207.306
2023-11-19,2023-11-19,2023-11-19T00:15:00,2023-11-19T00:30:00,4197.746
2023-11-19,2023-11-19,2023-11-19T00:30:00,2023-11-19T00:45:00,4188.189
2023-11-19,2023-11-19,2023-11-19T00:45:00,2023-11-19T01:00:00,4178.637
2023-11-19,2023-11-19,2023-11-19T01:00:00,2023-11-19T01:15:00,4130.614
2023-11-19,2023-11-19,2023-11-19T01:15:00,2023-11-19T01:30:00,4129.474
2023-11-19,2023-11-19,2023-11-19T01:30:00,2023-11-19T01:45:00,4128.334
2023-11-19,2023-11-19,2023-11-19T01:45:00,2023-11-19T02:00:00,4127.181
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:15:00,4126.05
2023-11-19,2023-11-19,2023-11-19T02:15:00,2023-11-19T02:30:00,4105.154
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T02:45:00,4084.264
2023-11-19,2023-11-19,2023-11-19T02:45:00,2023-11-19T03:00:00,4063.376
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:15:00,4042.486
2023-11-19,2023-11-19,2023-11-19T03:15:00,2023-11-19T03:30:00,4016.262
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T03:45:00,3990.029
2023-11-19,2023-11-19,2023-11-19T03:45:00,2023-11-19T04:00:00,3963.809
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:15:00,3937.581
2023-11-19,2023-11-19,2023-11-19T04:15:00,2023-11-19T04:30:00,3920.151
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T04:45:00,3902.734
2023-11-19,2023-11-19,2023-11-19T04:45:00,2023-11-19T05:00:00,3885.307
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:15:00,3867.891
2023-11-19,2023-11-19,2023-11-19T05:15:00,2023-11-19T05:30:00,3805.194
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T05:45:00,3742.494
2023-11-19,2023-11-19,2023-11-19T05:45:00,2023-11-19T06:00:00,3679.803
2023-11-19,2023-11-19,2023-11-19T06:00:00,2023-11-19T06:15:00,3617.111
2023-11-19,2023-11-19,2023-11-19T06:15:00,2023-11-19T06:30:00,3599.439
2023-11-19,2023-11-19,2023-11-19T06:30:00,2023-11-19T06:45:00,3581.77
2023-11-19,2023-11-19,2023-11-19T06:45:00,2023-11-19T07:00:00,3564.1
2023-11-19,2023-11-19,2023-11-19T07:00:00,2023-11-19T07:15:00,3447.474
2023-11-19,2023-11-19,2023-11-19T07:15:00,2023-11-19T07:30:00,3443.295
2023-11-19,2023-11-19,2023-11-19T07:30:00,2023-11-19T07:45:00,3439.123
2023-11-19,2023-11-19,2023-11-19T07:45:00,2023-11-19T08:00:00,3434.973
2023-11-19,2023-11-19,2023-11-19T08:00:00,2023-11-19T08:15:00,3430.8
2023-11-19,2023-11-19,2023-11-19T08:15:00,2023-11-19T08:30:00,3451.208
2023-11-19,2023-11-19,2023-11-19T08:30:00,2023-11-19T08:45:00,3471.614
2023-11-19,2023-11-19,2023-11-19T08:45:00,2023-11-19T09:00:00,3492.011
2023-11-19,2023-11-19,2023-11-19T09:00:00,2023-11-19T09:15:00,3512.421
2023-11-19,2023-11-19,2023-11-19T09:15:00,2023-11-19T09:30:00,3549.401
2023-11-19,2023-11-19,2023-11-19T09:30:00,2023-11-19T09:45:00,3586.394
2023-11-19,2023-11-19,2023-11-19T09:45:00,2023-11-19T10:00:00,3623.372
2023-11-19,2023-11-19,2023-11-19T10:00:00,2023-11-19T10:15:00,3660.348
2023-11-19,2023-11-19,2023-11-19T10:15:00,2023-11-19T10:30:00,3689.387
2023-11-19,2023-11-19,2023-11-19T10:30:00,2023-11-19T10:45:00,3718.432
2023-11-19,2023-11-19,2023-11-19T10:45:00,2023-11-19T11:00:00,3747.474
2023-11-19,2023-11-19,2023-11-19T11:00:00,2023-11-19T11:15:00,3776.514
2023-11-19,2023-11-19,2023-11-19T11:15:00,2023-11-19T11:30:00,3800.844
2023-11-19,2023-11-19,2023-11-19T11:30:00,2023-11-19T11:45:00,3825.179
2023-11-19,2023-11-19,2023-11-19T11:45:00,2023-11-19T12:00:00,3849.503
2023-11-19,2023-11-19,2023-11-19T12:00:00,2023-11-19T12:15:00,3873.856
2023-11-19,2023-11-19,2023-11-19T12:15:00,2023-11-19T12:30:00,3899.112
2023-11-19,2023-11-19,2023-11-19T12:30:00,2023-11-19T12:45:00,3924.382
2023-11-19,2023-11-19,2023-11-19T12:45:00,2023-11-19T13:00:00,3949.661
2023-11-19,2023-11-19,2023-11-19T13:00:00,2023-11-19T13:15:00,3974.941
2023-11-19,2023-11-19,2023-11-19T13:15:00,2023-11-19T13:30:00,3972.69
