TradeDate,StartTime,EndTime,IncPrice,IncQuantity,DecPrice,DecQuantity
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,-1000.0,1.0,-1000.0,81.0
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,172.86,21991.381,172.86,24768.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,171.27,21851.381,171.27,24628.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,170.0,21776.381,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,169.0,24553.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,167.41,24553.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,166.35,21768.681,166.35,24313.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,163.73,24193.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,175.45,22091.381,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,160.0,21648.681,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,158.6,21636.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,157.39,23773.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,154.31,21630.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,150.0,21625.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,149.0,21258.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,148.0,21046.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,147.75,20866.217,147.75,23593.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,158.96,24013.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,147.0,20766.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,176.45,22209.381,176.45,24886.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,177.64,22624.381,177.64,25301.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,199.0,24727.629,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,198.53,24487.629,198.53,26848.234
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,197.04,24202.629,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,182.63,24022.629,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,181.9,23922.629,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,181.89,23832.629,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,181.88,23742.629,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,176.69,22404.381,176.69,25081.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,181.86,26563.234
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,181.84,26383.234
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,181.6,23652.629,181.6,26293.234
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,180.63,23394.629,180.63,26035.234
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,180.07,23131.129,180.07,25771.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,179.32,22941.129,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,179.18,22925.211,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,177.66,22904.381,177.66,25581.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,181.85,26473.234
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,146.62,20686.417,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,146.61,20646.417,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,146.6,20606.417,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,129.93,17372.217,129.93,21221.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,129.16,17297.217,129.16,21146.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,128.82,17212.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,128.81,16932.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,125.55,16732.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,124.18,16538.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,122.21,21061.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,129.94,17447.217,129.94,21296.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,121.48,16169.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,121.2,20486.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,117.86,15817.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,117.25,15497.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,117.24,15257.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,116.47,15017.217,116.47,20231.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,115.48,20161.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,114.84,14947.217,114.84,19881.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,121.21,20741.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,131.14,17587.217,131.14,21436.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,131.15,17727.217,131.15,21576.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,131.34,18139.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,146.58,23493.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,146.57,23453.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,146.56,23413.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,146.48,20566.417,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,145.88,23373.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,145.59,20191.417,145.59,23273.734
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,140.15,23251.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,135.64,20169.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,135.63,19914.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,135.39,19659.217,135.39,23151.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,134.75,19379.217,134.75,22871.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,134.74,19099.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,134.73,22591.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,134.15,18849.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,134.06,22341.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,134.04,18529.217,134.04,21966.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,134.03,18334.217,134.03,21771.534
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,,,201.97,27225.234
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,114.69,14532.217,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,203.99,25095.849,203.99,27308.454
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,204.98,25275.849,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,492.15,27756.184,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,474.88,27701.443,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,470.87,27693.708,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,463.0,27678.907,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,443.51,27648.907,,
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,433.11,27643.067,433.11,28548.176
2023-11-19,2023-11-18T23:00:00,2023-11-18T23:30:00,431.11,27584.667,431.11,28489.776
