DeliveryDate,TradeDate,StartTime,EndTime,NominalFrequency,AverageFrequency,ParticipantName,ResourceName,ResourceType,Jurisdiction,MeteredMW
2023-11-19,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,50.0,49.995,,,,,
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402573,GU_405880,GEN,ROI,4.603
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402573,GU_404270,GEN,ROI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402573,GU_404260,GEN,ROI,-0.276
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402564,GU_403810,GEN,ROI,6.309
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402563,GU_404480,GEN,ROI,3.123
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402563,GU_403800,GEN,ROI,9.086
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402561,GU_403770,GEN,ROI,14.08
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402560,GU_405930,GEN,ROI,10.54
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402560,GU_403900,GEN,ROI,5.505
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402560,GU_403830,GEN,ROI,5.217
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402546,GU_403400,GEN,ROI,16.254
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402540,GU_405900,GEN,ROI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402540,GU_405160,GEN,ROI,10.58
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402540,GU_405110,GEN,ROI,8.773
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402540,GU_405070,GEN,ROI,-0.116
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402576,GU_404330,GEN,ROI,19.02
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402540,GU_404900,GEN,ROI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402577,GU_404340,GEN,ROI,4.323
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402579,GU_404360,GEN,ROI,-0.15
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_501520,GEN,NI,2.929
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_501160,GEN,NI,18.08
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_500740,GEN,NI,4.05
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_500020,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_500010,GEN,NI,4.278
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402613,GU_405210,GEN,ROI,44.39
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402608,GU_405140,GEN,ROI,22.08
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402607,GU_405080,GEN,ROI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402591,GU_404630,GEN,ROI,2.515
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402586,GU_404550,GEN,ROI,-0.037
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402585,GU_404540,GEN,ROI,-0.016
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402584,GU_404530,GEN,ROI,-0.031
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402580,GU_404390,GEN,ROI,-0.1
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402580,GU_404380,GEN,ROI,-0.1
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402579,GU_404370,GEN,ROI,-0.15
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402577,GU_404930,GEN,ROI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_501550,GEN,NI,4.817
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402540,GU_404520,GEN,ROI,-0.117
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402540,GU_404010,GEN,ROI,0.03
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400200,GU_403880,GEN,ROI,6.302
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400200,GU_403750,GEN,ROI,1.066
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400198,GU_402030,GEN,ROI,30.979
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400192,GU_401980,GEN,ROI,4.832
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400185,GU_401950,GEN,ROI,7.481
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400178,GU_401900,GEN,ROI,21.234
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400174,GU_405870,GEN,ROI,2.815
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400169,GU_401860,GEN,ROI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400165,GU_401840,GEN,ROI,18.55
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400146,GU_401670,GEN,ROI,2.027
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400135,GU_401690,GEN,ROI,8.64
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400132,GU_401700,GEN,ROI,9.122
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400126,GU_401500,GEN,ROI,0.083
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400109,GU_401350,GEN,ROI,16.416
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400087,GU_401230,GEN,ROI,8.521
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400200,GU_403920,GEN,ROI,4.153
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402540,GU_404510,GEN,ROI,0.006
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400200,GU_403990,GEN,ROI,1.941
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400200,GU_404470,GEN,ROI,12.829
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402540,GU_404000,GEN,ROI,9.353
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_402540,GU_403390,GEN,ROI,9.926
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_402539,GU_403740,GEN,ROI,6.784
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400460,GU_403000,GEN,ROI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400238,GU_403380,GEN,ROI,13.49
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400225,GU_402340,GEN,ROI,5.293
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400222,GU_402270,GEN,ROI,17.9
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400220,GU_405840,GEN,ROI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400220,GU_402300,GEN,ROI,10.45
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400208,GU_402130,GEN,ROI,10.296
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400208,GU_402110,GEN,ROI,8.207
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400202,GU_404500,GEN,ROI,4.796
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400202,GU_404490,GEN,ROI,8.013
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400200,GU_404580,GEN,ROI,3.2
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400200,GU_404570,GEN,ROI,16.46
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400200,GU_404460,GEN,ROI,7.255
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_501620,GEN,NI,3.994
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_501630,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_501670,GEN,NI,8.728
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500086,GU_501360,GEN,NI,2.306
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500074,GU_501250,GEN,NI,5.412
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500073,GU_501230,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500057,GU_503310,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500053,GU_501130,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500048,GU_500904,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500048,GU_500900,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500047,GU_500790,GEN,NI,3.469
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500045,GU_500825,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500045,GU_500824,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500045,GU_500821,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500045,GU_500820,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500044,GU_500720,GEN,NI,2.051
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500040,GU_503740,GEN,NI,32.564
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500040,GU_503730,GEN,NI,80.06
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500086,GU_501390,GEN,NI,0.615
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500040,GU_503720,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500086,GU_501410,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500086,GU_503940,GEN,NI,3.63
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500086,GU_501410,GEN,NI,1.452
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500057,GU_503310,GEN,NI,2.64
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_504050,GEN,NI,1.366
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_504060,GEN,NI,6.049
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500021,GU_500020,GEN,NI,0.089
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:29:59,,,PT_400200,GU_403750,GEN,ROI,1.068
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400080,GU_404560,GEN,ROI,1.32
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400062,GU_401760,GEN,ROI,3.033
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_400062,GU_401710,GEN,ROI,2.292
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_502534,GU_504040,GEN,NI,12.66
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_502534,GU_504030,GEN,NI,6.684
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_502532,GU_503980,GEN,NI,-0.132
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_502514,GU_503960,GEN,NI,-0.059
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_502514,GU_503950,GEN,NI,-0.131
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500110,GU_504200,GEN,NI,4.66
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500086,GU_503930,GEN,NI,1.813
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500040,GU_500284,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500040,GU_500283,GEN,NI,0.0
,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:30:00,,,PT_500039,GU_503900,GEN,NI,15.106
