EffTime,ParticipantName,ResourceName,DispatchInstructionMW,InstructionCode,InstrIssueTime,RampUpRate,RampDownRate
2024-02-14T23:59:00,PT_400037,GU_400500,110.0,MWOF,2024-02-14T23:57:23,0,0
2024-02-14T23:59:00,PT_400028,GU_400930,165.0,MWOF,2024-02-14T23:57:30,0,0
2024-02-14T23:40:00,PT_500024,GU_500040,258.0,MWOF,2024-02-14T23:38:34,0,0
2024-02-14T23:39:00,PT_400037,GU_400500,150.0,MWOF,2024-02-14T23:37:57,0,0
2024-02-14T23:39:00,PT_400028,GU_400930,167.0,MWOF,2024-02-14T23:37:38,0,0
2024-02-14T23:22:00,PT_400037,GU_400500,250.0,MWOF,2024-02-14T23:20:03,0,0
2024-02-14T23:21:00,PT_400028,GU_400930,200.0,MWOF,2024-02-14T23:19:49,0,0
2024-02-14T22:55:00,PT_400037,GU_400500,320.0,MWOF,2024-02-14T22:53:45,0,0
2024-02-14T22:55:00,PT_400028,GU_400930,294.0,MWOF,2024-02-14T22:53:29,0,0
2024-02-14T22:50:00,PT_400028,GU_400930,320.0,MWOF,2024-02-14T22:48:37,0,0
2024-02-14T22:46:00,PT_400044,GU_400540,121.0,MWOF,2024-02-14T22:44:04,0,0
2024-02-14T22:40:00,PT_400035,GU_400480,145.0,MWOF,2024-02-14T22:38:33,0,0
2024-02-14T22:37:00,PT_400044,GU_400540,183.0,MWOF,2024-02-14T22:35:55,0,0
2024-02-14T22:33:00,PT_400116,DSU_403760,5.0,MWOF,2024-02-14T22:33:00,0,0
2024-02-14T22:10:00,PT_400116,DSU_403760,4.0,MWOF,2024-02-14T22:10:00,0,0
2024-02-14T22:03:00,PT_400044,GU_400540,230.0,MWOF,2024-02-14T22:01:18,0,0
2024-02-14T22:02:00,PT_500024,GU_500040,310.0,MWOF,2024-02-14T22:00:49,0,0
2024-02-14T21:58:22,PT_400062,GU_404420,21.72,WIND,2024-02-14T21:58:22,0,0
2024-02-14T21:48:00,PT_400090,DSU_401610,4.0,MWOF,2024-02-14T21:48:26,0,0
2024-02-14T21:38:00,PT_400090,DSU_401610,3.0,MWOF,2024-02-14T21:37:15,0,0
2024-02-14T21:26:00,PT_500040,GU_503720,0.0,MWOF,2024-02-14T21:24:28,0,0
2024-02-14T21:26:00,PT_500040,GU_503720,0.0,DESY,2024-02-14T21:24:28,0,0
2024-02-14T21:23:00,PT_400133,DSU_401910,5.0,MWOF,2024-02-14T21:24:38,0,0
2024-02-14T21:07:00,PT_400030,GU_400251,0.0,MWOF,2024-02-14T21:05:42,0,0
2024-02-14T21:07:00,PT_400030,GU_400251,0.0,DESY,2024-02-14T21:05:42,0,0
2024-02-14T21:06:00,PT_400116,DSU_401870,1.0,MWOF,2024-02-14T21:05:56,0,0
2024-02-14T21:00:44,PT_400021,GU_401990,72.0,WIND,2024-02-14T21:00:44,0,0
2024-02-14T21:00:00,PT_400116,DSU_401870,2.0,MWOF,2024-02-14T19:49:47,0,0
2024-02-14T20:54:00,PT_400169,GU_401860,85.0,MWOF,2024-02-14T20:52:09,0,0
2024-02-14T20:54:00,PT_400064,GU_400762,165.0,MWOF,2024-02-14T20:52:16,0,0
2024-02-14T20:54:00,PT_400044,GU_400540,170.0,MWOF,2024-02-14T20:52:28,0,0
2024-02-14T20:54:00,PT_400035,GU_400480,170.0,MWOF,2024-02-14T20:52:28,0,0
2024-02-14T20:54:00,PT_400030,GU_400362,0.0,MWOF,2024-02-14T20:52:38,0,0
2024-02-14T20:54:00,PT_400030,GU_400362,0.0,DESY,2024-02-14T20:52:38,0,0
2024-02-14T20:54:00,PT_400028,GU_400930,390.0,MWOF,2024-02-14T20:52:55,0,0
2024-02-14T20:28:00,PT_400030,GU_400361,0.0,DESY,2024-02-14T20:26:56,0,0
2024-02-14T20:28:00,PT_400030,GU_400361,0.0,MWOF,2024-02-14T20:26:56,0,0
2024-02-14T20:19:00,PT_400030,GU_400363,0.0,DESY,2024-02-14T20:17:43,0,0
2024-02-14T20:19:00,PT_400030,GU_400363,0.0,MWOF,2024-02-14T20:17:43,0,0
2024-02-14T20:04:00,PT_400030,GU_400362,5.0,MWOF,2024-02-14T20:02:18,0,0
2024-02-14T19:54:00,PT_500024,GU_500040,389.0,MWOF,2024-02-14T19:52:52,0,0
2024-02-14T19:42:00,PT_400064,GU_400762,200.0,MWOF,2024-02-14T19:40:48,0,0
2024-02-14T19:37:00,PT_400044,GU_400540,250.0,MWOF,2024-02-14T19:35:19,0,0
2024-02-14T19:37:00,PT_400035,GU_400480,250.0,MWOF,2024-02-14T19:35:19,0,0
2024-02-14T19:37:00,PT_400030,GU_400360,0.0,DESY,2024-02-14T19:35:24,0,0
2024-02-14T19:37:00,PT_400030,GU_400360,0.0,MWOF,2024-02-14T19:35:24,0,0
2024-02-14T19:34:00,PT_400030,GU_400361,5.0,MWOF,2024-02-14T19:32:01,0,0
2024-02-14T19:31:00,PT_400030,GU_400360,5.0,MWOF,2024-02-14T19:29:03,0,0
2024-02-14T19:28:00,PT_400064,GU_400762,250.0,MWOF,2024-02-14T19:26:44,0,0
2024-02-14T19:28:00,PT_400044,GU_400540,300.0,MWOF,2024-02-14T19:26:32,0,0
2024-02-14T19:28:00,PT_400035,GU_400480,295.0,MWOF,2024-02-14T19:26:38,0,0
2024-02-14T19:28:00,PT_400030,GU_400361,45.0,MWOF,2024-02-14T19:26:07,0,0
2024-02-14T19:28:00,PT_400030,GU_400360,45.0,MWOF,2024-02-14T19:26:03,0,0
2024-02-14T19:28:00,PT_400030,GU_400360,5.0,MWOF,2024-02-14T19:26:03,0,0
2024-02-14T19:28:00,PT_400030,GU_400360,0.0,MWOF,2024-02-14T19:26:03,0,0
2024-02-14T19:28:00,PT_400030,GU_400360,0.0,SYNC,2024-02-14T19:26:03,0,0
2024-02-14T19:25:00,PT_400041,GU_400530,0.0,TRIP,2024-02-14T19:28:20,0,0
2024-02-14T19:25:00,PT_400041,GU_400530,0.0,MWOF,2024-02-14T19:28:20,0,0
2024-02-14T19:20:00,PT_400041,GU_400530,268.0,MWOF,2024-02-14T19:18:39,0,0
2024-02-14T19:17:00,PT_400044,GU_400540,230.0,MWOF,2024-02-14T19:15:25,0,0
2024-02-14T19:17:00,PT_400041,GU_400530,282.0,MWOF,2024-02-14T19:15:15,0,0
2024-02-14T19:17:00,PT_400035,GU_400480,230.0,MWOF,2024-02-14T19:15:25,0,0
2024-02-14T19:02:00,PT_400030,GU_400361,5.0,MWOF,2024-02-14T19:00:48,0,0
2024-02-14T19:02:00,PT_400030,GU_400360,0.0,DESY,2024-02-14T19:00:01,0,0
2024-02-14T19:02:00,PT_400030,GU_400360,0.0,MWOF,2024-02-14T19:00:01,0,0
2024-02-14T18:49:00,PT_402540,GU_404510,0.0,MWOF,2024-02-14T18:47:08,0,0
2024-02-14T18:48:00,PT_400044,GU_400540,150.0,MWOF,2024-02-14T18:46:13,0,0
2024-02-14T18:48:00,PT_400035,GU_400480,170.0,MWOF,2024-02-14T18:46:00,0,0
2024-02-14T18:38:00,PT_400124,DSU_401880,0.0,MWOF,2024-02-14T18:38:12,0,0
2024-02-14T18:38:00,PT_400124,DSU_401880,0.0,DESY,2024-02-14T18:38:12,0,0
2024-02-14T18:33:00,PT_400198,GU_402030,60.0,MWOF,2024-02-14T18:33:08,0,0
2024-02-14T18:30:00,PT_502514,GU_503960,0.0,MWOF,2024-02-14T18:28:35,0,0
2024-02-14T18:30:00,PT_502514,GU_503950,0.0,MWOF,2024-02-14T18:28:26,0,0
2024-02-14T18:30:00,PT_402540,GU_404010,0.0,MWOF,2024-02-14T18:27:55,0,0
2024-02-14T18:09:00,PT_400044,GU_400540,214.0,MWOF,2024-02-14T18:07:56,0,0
2024-02-14T18:05:00,PT_402540,GU_405070,0.0,MWOF,2024-02-14T18:03:06,0,0
2024-02-14T18:04:00,PT_400064,GU_400762,165.0,MWOF,2024-02-14T18:02:12,0,0
2024-02-14T18:04:00,PT_400035,GU_400480,220.0,MWOF,2024-02-14T18:02:27,0,0
2024-02-14T18:00:00,PT_502514,GU_503960,8.0,MWOF,2024-02-14T17:50:29,0,0
2024-02-14T18:00:00,PT_502514,GU_503950,13.0,MWOF,2024-02-14T17:50:21,0,0
2024-02-14T18:00:00,PT_500053,DSU_503480,0.0,DESY,2024-02-14T17:45:15,0,0
2024-02-14T18:00:00,PT_500053,DSU_503480,0.0,MWOF,2024-02-14T17:45:15,0,0
2024-02-14T18:00:00,PT_402540,GU_405070,4.0,MWOF,2024-02-14T17:49:54,0,0
2024-02-14T18:00:00,PT_402540,GU_404510,4.0,MWOF,2024-02-14T17:49:31,0,0
2024-02-14T18:00:00,PT_402540,GU_404010,1.0,MWOF,2024-02-14T17:49:05,0,0
2024-02-14T17:51:39,PT_400021,GU_401990,0.0,WIND,2024-02-14T17:51:39,0,0
2024-02-14T17:49:00,PT_400035,GU_400480,245.0,MWOF,2024-02-14T17:47:15,0,0
2024-02-14T17:48:00,PT_400044,GU_400540,245.0,MWOF,2024-02-14T17:46:26,0,0
2024-02-14T17:47:00,PT_400116,DSU_403760,5.0,MWOF,2024-02-14T17:46:05,0,0
2024-02-14T17:36:00,PT_400198,GU_402030,57.0,MWOF,2024-02-14T17:44:59,0,0
2024-02-14T17:30:00,PT_402540,GU_405070,7.0,MWOF,2024-02-14T17:27:11,0,0
2024-02-14T17:28:00,PT_400030,GU_400360,0.0,MWOF,2024-02-14T17:23:11,0,0
2024-02-14T17:28:00,PT_400030,GU_400360,0.0,SYNC,2024-02-14T17:23:11,0,0
2024-02-14T17:28:00,PT_400030,GU_400360,5.0,MWOF,2024-02-14T17:23:11,0,0
2024-02-14T17:28:00,PT_400028,GU_400930,432.0,MWOF,2024-02-14T17:26:47,0,0
2024-02-14T17:28:00,PT_400028,GU_400930,433.0,MWOF,2024-02-14T17:28:36,0,0
2024-02-14T17:25:42,PT_400021,GU_400021,0.0,WIND,2024-02-14T17:25:42,0,0
2024-02-14T17:23:00,PT_400064,GU_400762,220.0,MWOF,2024-02-14T17:21:42,0,0
2024-02-14T17:23:00,PT_400044,GU_400540,200.0,MWOF,2024-02-14T17:21:29,0,0
