TradeDate,DeliveryDate,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
2023-11-19,2023-11-18,2023-11-18T23:00:00,2023-11-18T23:15:00,3613.738,681.317,4295.055
2023-11-19,2023-11-18,2023-11-18T23:15:00,2023-11-18T23:30:00,3600.557,672.568,4273.125
2023-11-19,2023-11-18,2023-11-18T23:30:00,2023-11-18T23:45:00,3587.365,663.808,4251.173
2023-11-19,2023-11-18,2023-11-18T23:45:00,2023-11-19T00:00:00,3574.181,655.06,4229.241
2023-11-19,2023-11-19,2023-11-19T00:00:00,2023-11-19T00:15:00,3561.006,646.3,4207.306
2023-11-19,2023-11-19,2023-11-19T00:15:00,2023-11-19T00:30:00,3554.01,643.736,4197.746
2023-11-19,2023-11-19,2023-11-19T00:30:00,2023-11-19T00:45:00,3547.023,641.166,4188.189
2023-11-19,2023-11-19,2023-11-19T00:45:00,2023-11-19T01:00:00,3540.038,638.599,4178.637
2023-11-19,2023-11-19,2023-11-19T01:00:00,2023-11-19T01:15:00,3480.61,650.004,4130.614
2023-11-19,2023-11-19,2023-11-19T01:15:00,2023-11-19T01:30:00,3478.265,651.209,4129.474
2023-11-19,2023-11-19,2023-11-19T01:30:00,2023-11-19T01:45:00,3475.919,652.415,4128.334
2023-11-19,2023-11-19,2023-11-19T01:45:00,2023-11-19T02:00:00,3473.569,653.612,4127.181
2023-11-19,2023-11-19,2023-11-19T02:00:00,2023-11-19T02:15:00,3471.23,654.82,4126.05
2023-11-19,2023-11-19,2023-11-19T02:15:00,2023-11-19T02:30:00,3461.976,643.178,4105.154
2023-11-19,2023-11-19,2023-11-19T02:30:00,2023-11-19T02:45:00,3452.729,631.535,4084.264
2023-11-19,2023-11-19,2023-11-19T02:45:00,2023-11-19T03:00:00,3443.487,619.889,4063.376
2023-11-19,2023-11-19,2023-11-19T03:00:00,2023-11-19T03:15:00,3434.235,608.251,4042.486
2023-11-19,2023-11-19,2023-11-19T03:15:00,2023-11-19T03:30:00,3421.111,595.151,4016.262
2023-11-19,2023-11-19,2023-11-19T03:30:00,2023-11-19T03:45:00,3407.976,582.053,3990.029
2023-11-19,2023-11-19,2023-11-19T03:45:00,2023-11-19T04:00:00,3394.85,568.959,3963.809
2023-11-19,2023-11-19,2023-11-19T04:00:00,2023-11-19T04:15:00,3381.722,555.859,3937.581
2023-11-19,2023-11-19,2023-11-19T04:15:00,2023-11-19T04:30:00,3372.884,547.267,3920.151
2023-11-19,2023-11-19,2023-11-19T04:30:00,2023-11-19T04:45:00,3364.051,538.683,3902.734
2023-11-19,2023-11-19,2023-11-19T04:45:00,2023-11-19T05:00:00,3355.206,530.101,3885.307
2023-11-19,2023-11-19,2023-11-19T05:00:00,2023-11-19T05:15:00,3346.375,521.516,3867.891
2023-11-19,2023-11-19,2023-11-19T05:15:00,2023-11-19T05:30:00,3305.685,499.509,3805.194
2023-11-19,2023-11-19,2023-11-19T05:30:00,2023-11-19T05:45:00,3264.995,477.499,3742.494
